anchor,winner,loser
crate,box,mullet
ink,toe,camera
quesadilla,fork,pedal
rock,ankle,coal
pickle,spoon,diaper
wooden leg,armor,tuba
wheel,birthday cake,airboat
bead,vulture,mushroom
noose,okra,poker
porcupine,jewel,thorn
chin,knob,orangutan
plastic film,rabbit,tomato sauce
kneepad,bowler hat,spider
shark,washcloth,rat
file,battery,tapestry
cane,outlet,fire
saffron,macaroni,gallows
candlestick,cockroach,torpedo
applesauce,chime,lettuce
necklace,swimsuit,pear
tent,harness,bowling ball
jewel,amber,stew
cordon bleu,whip,ham
calculator,light switch,wick
test tube,screen,lego
roadsweeper,quesadilla,skateboard
coral,cardboard,fungus
window,inkwell,corsage
videocassette,beachball,scaffolding
pumpkin,tank,leek
button,cabinet,pearl
weasel,cocktail,parrot
odometer,corsage,duffel bag
spoon,fuse,fox
hobbyhorse,knee,pug
potpie,gun,margarita
dagger,cashew,barbell
dreidel,trailer,vulture
pomegranate,lemonade,anchor
polar bear,weasel,nacho
candy cane,dumpling,grate
slime,football helmet,trombone
gallows,hummingbird,bullet
nail polish,lip balm,iguana
gopher,airplane,moose
umbrella,gumball,telescope
meat,meatball,soccer ball
shutter,lock,cardinal
inhaler,warthog,life jacket
bottle,lamb,dish
cot,diamond,streetlight
crowbar,parking meter,watermelon
poodle,yak,keg
nail file,polar bear,mailbox
coleslaw,soda fountain,notebook
rifle,chisel,blackberry
paper bag,meerkat,bib
seatbelt,swan,key
rag,couch,tuba
pomegranate,calamari,typewriter
paper plate,eggshell,soap
eggnog,pot,hawk
skirt,okra,kilt
hippopotamus,rug,anteater
perfume,drink,dolphin
roller coaster,cocoon,power line
ice cube,skull,bedpan
handle,waterwheel,knee
puppet,carrot,mustache
hamburger,bus,cashew
clipper,okra,guitar
sunflower,bowling ball,green beans
kebab,peanut butter,diamond
saffron,bacon,humvee
oilcan,dolphin,water filter
power line,streetlight,parsley
tape measure,swan,trophy
firecracker,arrow,bull
spareribs,knee,toaster
thumbtack,weasel,football helmet
wallet,knee,ramp
gumdrop,silverware,anchor
sewing machine,blindfold,eagle
antelope,llama,magnifying glass
kite,blimp,gopher
chess piece,grate,honeypot
faucet,poinsettia,vise
train car,quad,robe
seal,bowling ball,moose
branch,revolver,cart
bin,hyena,piggy bank
cotton candy,trombone,gourd
baseball bat,chute,lobster
telephone pole,hobbyhorse,meerkat
toe,limousine,wrist
ketchup,toaster,crate
notepad,chicken,keyboard
butter,apple,raccoon
latte,dip,crate
mold,flour,hedgehog
propeller,hoodie,helicopter
pear,jewel,scallop
hanger,knee,boxer shorts
thumb,grate,eyepiece
wedding cake,coyote,ladle
lollipop,bulletproof vest,dice
slicer,sloth,sewing machine
sauerkraut,chisel,gumdrop
recliner,poinsettia,backgammon
lego,stamp,artichoke
treasure,penholder,duckling
thimble,comb,whale
face mask,cookie,springboard
abacus,thermometer,ant
ham,creme brulee,yacht
flyswatter,spatula,patty
souffle,tarp,peanut
bun,wrench,beet
photograph,thread,raincoat
bus,clipper,sunroof
pizza,corsage,strawberry
squirt gun,toothpaste,crate
wafer,arugula,diaper
tent,mop,pancake
bullet,pizza,wire cutters
parrot,llama,microwave
locker,guillotine,aloe
hole,hatchet,necklace
chip,phone,shark
gauge,spool,aardvark
squash,sword,calzone
nose,ankle,sword
padlock,zipper,artichoke
flour,necklace,cork
pistachio,tortilla,quad
soda fountain,hedgehog,microscope
spider,cactus,polisher
ticktacktoe,fire,shoehorn
matchbox,squirrel,mousetrap
clove,toe,ivy
sofa bed,cherry,thermostat
bouquet,bullet,berry
scallion,horn,okra
chalk,taffy,cream
doorstop,fire pit,raccoon
ski lift,tripod,dough
bone,bubble wrap,tee
pan,lion,banana peel
train,steamroller,tinsel
cigarette holder,raccoon,revolving door
shelf,toe,wire cutters
chips,leek,thread
quesadilla,airplane,popsicle
prism,jukebox,knee
dishwashing liquid,juicer,tugboat
strap,chili,hook
sea urchin,branch,computer
bowl,crepe,cardinal
cardigan,suit,sand
penholder,speedometer,knee
button,tadpole,gyroscope
sausage,watermelon,violin
gallows,fox,gravestone
blueberry,banana peel,trolley
corsage,petal,chickpea
waterwheel,lavender,first-aid kit
school bus,jelly bean,buggy
chip,duct,moth
oven,remote control,ball
mold,pitcher,goose
rickshaw,raisin,van
bomb,cherry,chainsaw
crouton,mascara,candy cane
meerkat,inhaler,rat
pearl,jeep,baseball
hot chocolate,first-aid kit,coffee filter
shell,cake,cannon
tarp,toolbox,beaver
bulldozer,spider,anvil
pinwheel,sticker,tuba
hot tub,violin,speedboat
coleslaw,pasta,hairpin
chute,swan,water fountain
underwear,kilt,jetski
crown,bedpost,caterpillar
toy,rattle,pheasant
tapestry,sweater,stingray
catapult,dough,crank
squirrel,beaver,manhole
spark plug,hawk,backscratcher
puppy,turkey,match
eyedropper,beaver,vial
straw,apple tree,suit
bikini,exerciser,chandelier
mint,yo-yo,curry
spider web,beehive,peeler
bread,chime,toaster
life jacket,tuba,bolt
barbell,fire,slide
strainer,racehorse,pendulum
ramp,fence,meerkat
whisk,gold,weasel
calculator,crystal,reel
sidecar,subway,mulberry
kangaroo,lamb,gasket
pickle,clover,hairdryer
cd player,calf,cufflink
handle,moth,water filter
shoelace,gyro,flip-flop
sauerkraut,diaper,squid
rock,blowtorch,clam
snowball,emerald,face mask
watermelon,curry,diamond
scoop,bowling ball,pipe
washing machine,container,pony
cabbage,coleslaw,panties
chin,pantyhose,knob
sandbox,mud,thread
potholder,honeypot,crow
buckle,skateboard,flan
plaster cast,finger,violin
missile,aardvark,chimney
pallet,wedge,gumball
pantyhose,mouth,wood
visor,gauze,eagle
dial,whale,pencil sharpener
brass knuckles,daisy,vise
wrist,chandelier,hamster
ski lift,slingshot,fur coat
octopus,soccer ball,duck
collar,fire,plate
teacup,grits,panther
barnacle,tapestry,tadpole
sparkler,peach,bomb
lemon,crane,beehive
banana,humvee,chicken
crystal ball,strawberry,magnifier
chicken,blanket,leek
gong,scale,reindeer
roof rack,gear,rabbit
videogame,cd player,match
pancake,seatbelt,olive
clothesline,snowshoe,revolver
locker,stair,alpaca
ball,snack,lollipop
batter,shell,saucer
bubble,hedge,beachball
pinecone,bulletproof vest,mold
ski,brussels sprouts,barbell
hookah,poodle,can
goggles,bow,leek
mirror,basket,knee
inhaler,yak,shaving cream
jewel,stuffing,lightbulb
license plate,revolving door,knee
cucumber,turf,kaleidoscope
tag,shawl,quesadilla
cauliflower,cordon bleu,tuning fork
tube top,pants,golf cart
mullet,shell,eye
computer,tape measure,tea
bedpan,cap,knee
porthole,gumball,train set
mustache,foot,tuba
badge,figurine,boar
ram,power line,chinchilla
loom,cherry,railing
cutting board,doorknocker,spider
wreath,stool,quad
scaffold,bomb,koala
boar,recliner,camel
orange rind,fork,tuba
coffin,clothespin,cilantro
ski boots,jacket,pony
bulldozer,drink,cannon
sloth,bongo,swan
marijuana,playpen,tree
gate,turbine,pancake
pancake,keyboard,noodle
confetti,grate,pepper
door,pancake,ping-pong table
granola,mixer,wing
oatmeal,wheel,cracker
remote control,leash,goose
modem,meerkat,record player
can opener,necklace,jump rope
easter egg,revolver,biscuit
rhubarb,thread,muffin
orchid,sprouts,charcoal
mascara,station wagon,sunglasses
water bottle,saltshaker,corsage
knee,quiche,leg
sunroof,payphone,beet
strainer,beaver,saltshaker
gift,shell,tag
microwave,barcode,hedgehog
totem pole,knee,curb
station wagon,gutter,melon
gear,poinsettia,brace
wrapping paper,hippopotamus,skewer
sifter,lion,penholder
hanger,noose,knee
forklift,roller,sushi
bagpipe,arugula,red carpet
blower,springboard,swan
jacket,suitcase,boar
rain gauge,bowling ball,stick
fishhook,chick,chisel
ram,orangutan,screen
mongoose,cello,mouse
ambulance,shark,luggage
sombrero,leggings,mongoose
beard,hairspray,knot
dishwashing liquid,dolphin,shaving cream
wooden leg,holster,ruby
bologna,chisel,noodle
toothbrush,bedpan,diamond
letter opener,dreidel,tapestry
gauge,luggage,corsage
playpen,doll,pretzel
whipped cream,quad,raisin
flyswatter,stake,hedgehog
drain,corsage,freezer
water bottle,pinwheel,grate
oyster,clam,guitar
handle,radar,polar bear
fireplace,mouse,trunk
tuba,jetski,record player
cantaloupe,sailboat,watermelon
girl,sling,kite
braid,jeans,hot-air balloon
sailboat,flan,jetski
boa,coal,jeans
tupperware,poodle,blender
dandelion,airplane,saffron
jar,bedpan,boxing gloves
rudder,tack,cardinal
cornhusk,slipper,tuba
espresso,sword,muffin
sandbox,revolver,coffin
wire,tape measure,duck
bolo tie,wood,figurine
gift,bowl,badger
mustard,trombone,chinaware
boxer shorts,pancake,hopscotch
fountain pen,robe,pencil
shrimp,hard disk,bell pepper
tarp,cardboard,owl
window,valve,corsage
viewfinder,artichoke,cloud
stamp,grate,bandage
fruit,appetizer,trampoline
chick,panther,bongo
toaster oven,mantle,parachute
quill,sickle,diaper
dynamite,shell,hamburger
moose,garter,reindeer
canoe,pom-pom,balance beam
altar,tablet,vulture
flashbulb,radio,goat
remote control,lampshade,meerkat
shrimp,mascara,clove
crucifix,pillbox,rudder
curry,sandpaper,eclair
cash register,shark,scale
neck,chisel,bonnet
extinguisher,piglet,crowbar
turtle,bug,hairdryer
bumper,root,knee
buckle,hummingbird,coat rack
blackberry,pastry,board
pants,sock,fox
ski boots,papaya,subway
salami,jelly bean,first-aid kit
film,kaleidoscope,artichoke
honey,taffy,insole
ambulance,beachball,wheelchair
gumdrop,revolver,peeler
stethoscope,toilet,drink
gel,grate,mailbox
weather vane,toe,camel
woman,polo shirt,crate
snail,mouse,jet
detonator,urinal,dolphin
crow,puffin,bowling ball
potpourri,boxing gloves,emerald
wagon,appetizer,shopping cart
raft,woman,bowling ball
peach,spareribs,laundry basket
smoothie,eagle,tortellini
stingray,trough,quad
granite,whale,coal
latch,gumball,nail file
pear,pizza,propeller
streetlight,plunger,corsage
paperclip,corsage,mailbox
hairpin,catfish,checkers
string cheese,carriage,cookie
cage,corsage,staple
scraper,drill,pigeon
burner,headband,telegraph
muff,test tube,gauze
toast,beet,humvee
blender,pedometer,pom-pom
rain gauge,prism,bowling ball
diamond,hail,owl
odometer,lanyard,corsage
satellite,necklace,handlebar
mailbox,anchor,knee
bulldozer,eye,train set
sled,peach,electric chair
trailer,fire hydrant,moth
walker,coral,snowsuit
tape measure,wire,knee
jumpsuit,wick,nightshirt
pita,bacon,tuning fork
flip-flop,eagle,clothes
cement mixer,shark,gutter
paperweight,grater,knee
shovel,electric chair,goose
space shuttle,calf,helicopter
jetski,raccoon,airboat
grass,air conditioner,lettuce
squash,shell,licorice
dart,cutting board,grate
cart,bomb,corsage
rhinoceros,boar,riser
rust,rake,thread
mug,coin,kite
faucet,piglet,battery
corn,tuba,espresso
solar panel,taillight,diaper
plunger,life jacket,papaya
mold,trunk,poodle
bassoon,earwig,telescope
dandelion,spinach,screen
dish,blueberry,grate
kazoo,raccoon,drumstick
mallet,pliers,bird
wrap,pastry,handcuff
spareribs,necklace,worm
caviar,crate,teabag
mulberry,jalapeno,crate
sweater,apple,shirt
cymbal,duct,flower
yarn,necklace,sidecar
wind chimes,first-aid kit,firewood
gopher,stretcher,pony
tiara,donut,outfit
gold,hatchet,kite
tiramisu,marble,cantaloupe
saw,vacuum,lemon
faucet,trough,knee
top hat,pants,whale
slot machine,windshield,cilantro
cement mixer,workbench,brussels sprouts
doghouse,chair,strawberry
cot,diamond,tent
mouse,can opener,reindeer
ferry,airplane,mail
pocketknife,whisk,playpen
hard disk,fuse,owl
origami,sim card,scallion
bra,shell,makeup
aardvark,lego,whale
wedge,poker,cream
pool table,compass,raccoon
beachball,marble,telegraph
gallows,crossbow,spider
gargoyle,sledgehammer,thread
burrito,spinach,wheel
marshmallow,shears,salami
chicken wire,staple,corsage
sunglasses,laser pointer,raspberry
teddy bear,tick,knee
tambourine,belt,brussels sprouts
nail polish,underwear,mongoose
fuse,deer,propeller
donut,mixer,kite
fence,paper plate,container
harness,gargoyle,cabbage
sledgehammer,whale,baton
doorbell,swan,mold
beehive,diaper,sundae
dumbwaiter,poinsettia,battery
panties,cardinal,bracelet
trombone,manatee,trumpet
cd player,aardvark,radar
scallop,sword,teabag
lip balm,icemaker,raccoon
hairdryer,locker,warthog
cornmeal,shortbread,bus
swimming pool,croissant,tugboat
bunkbed,mosquito,urinal
domino,polar bear,doormat
chicken wire,violin,guardrail
swing set,knee,doorstop
camera,okra,cane
faucet,pump,fire
lectern,cabbage,cornhusk
hair,headscarf,test tube
popsicle,quad,pan
camera,knee,calculator
owl,extinguisher,mouse
koala,snorkel,gopher
smoothie,blueberry,tank
water bottle,shell,jug
strap,cocoon,rubber band
ice cream,pear,yacht
lettuce,meatball,nightstand
hot tub,possum,squirt gun
bassinet,polar bear,stool
bonnet,veil,lollipop
cereal,beachball,creme brulee
waterwheel,rock,corsage
chinchilla,crate,mole
drain,buckle,meerkat
tortellini,vulture,cream cheese
barrel,pallet,jeep
hanger,knee,tray
caviar,grate,broccoli
flask,latch,weasel
flask,jug,playpen
flashlight,suspenders,otter
motorcycle,weasel,joystick
pincushion,robot,cockroach
candy,waffle iron,diaper
balloon,hedgehog,chalk
compass,pony,polygraph
honey,tortellini,grille
grasshopper,thread,cat
otter,bunkbed,jellyfish
trap,fork,bowling ball
bell,thimble,ankle
icicle,watering can,finger
bear,wand,ant
iguana,volleyball,swordfish
french fries,spareribs,gurney
jetski,aardvark,sailboat
napkin ring,button,face
sandbag,fox,scaffold
windowsill,knee,flyswatter
kayak,ski,soup
poodle,ship,monkey
camcorder,flatiron,fruitcake
rose,dragonfly,buggy
harmonica,whistle,eagle
ice-cream cone,meerkat,wine
potholder,purse,match
platypus,gargoyle,gun
snowshoe,grate,megaphone
peacock,gun,poodle
go-kart,trampoline,poppy
flan,vulture,latte
pastry,guacamole,propeller
sled,celery,rake
camcorder,food processor,mouse
cucumber,gurney,emerald
hairbrush,hedgehog,file
cannonball,bathtub,cranberry
caramel,potato,tugboat
cuckoo clock,kitten,fan
knitting,lanyard,leopard
pill,corsage,patch
defibrillator,hawk,photo booth
fast food,brussels sprouts,bus
sock,hose,sandal
camera lens,weather vane,crab
backdrop,speaker,knee
lip gloss,cocoon,retainer
racket,bear,baseball glove
stirrup,milk,fire hydrant
meat grinder,kite,gum
limousine,dashboard,cookie
gas mask,polygraph,piglet
helmet,visor,duck
contact lens,tongue,goalpost
marshmallow,olive,weasel
soy sauce,shrimp,rickshaw
scarf,kneepad,shell
trapdoor,box,bowling ball
flour,oatmeal,revolver
roll,heater,egg roll
honeypot,knee,coffee
life jacket,clasp,grate
nail,pole,boar
cornucopia,bathtub,jelly bean
bowl,otter,bologna
gazelle,scorpion,tricycle
streetlight,compost,artichoke
ruby,lens,stem
french fries,latte,buggy
ashtray,thorn,kite
hammock,window,jewel
ruler,cockroach,tile
boomerang,honeycomb,roulette wheel
clipper,knob,basil
bologna,whip,beer
photograph,cilantro,parking meter
baseball bat,trident,hedge
mascara,stew,brush
tongue,bread,shell
kale,cherry,cabinet
fingerprint,tuba,woman
trowel,ram,grill
soldering iron,croissant,earring
target,stingray,ferris wheel
boxer shorts,spacesuit,grate
paper plate,handkerchief,rifle
bus,luggage,warthog
stuffing,green beans,crib
car,charcoal,dirt bike
trough,finger,wreck
bug,space shuttle,mole
yolk,pepper mill,throne
blueberry,dynamite,lamb chop
thumbtack,flan,domino
perfume,cardinal,hookah
toe,scallion,tongue
boa,navel,barrel
pretzel,jackhammer,grape
mosquito,wall,camel
speedometer,meerkat,bumper
arch,padlock,corsage
snowmobile,peg,airplane
octopus,lumber,banana peel
spacesuit,raspberry,coverall
teepee,sandbox,knee
rudder,knee,breadbox
shopping basket,banjo,washboard
dirt bike,bus,marker
oilcan,swan,drill
cloud,stump,revolver
blender,vulture,outlet
watch,chipmunk,yo-yo
hairdryer,retainer,peanut
chin,hula hoop,turntable
mussel,diaper,cheesecake
vending machine,tuba,banana peel
quiche,scallion,catapult
raincoat,squirt gun,fire
centrifuge,taxi,cockroach
cello,camera,seagull
muff,dishrag,tugboat
navel,grate,thumb
motherboard,dryer,rabbit
lectern,boar,trunk
thermostat,headlamp,meerkat
fuse,baton,pigeon
mud,confetti,marker
shaker,eye,camera
cornucopia,cherry,blimp
frame,knee,radiator
plaster cast,arm,ruby
straw,bowling ball,cornmeal
candlestick,crow,eyedropper
grape,chicken,baton
drum,piano,turtle
tupperware,airplane,stove
sewing machine,coverall,shark
navel,kite,bolo tie
brooch,rabbit,suspenders
coop,knee,cooker
potpie,playpen,mustard
shrimp,breakfast,saxophone
gold,kite,gas mask
rag,dolly,knee
crumb,plastic film,tuba
firetruck,ambulance,brussels sprouts
roller,knee,snowshoe
shower,ottoman,wasp
webcam,pheasant,duct
bat,flute,beaver
catfish,ladybug,tab
casserole,fudge,camper
washboard,goat,wheelchair
fishnet stockings,coat,strawberry
poinsettia,knee,beet
balloon,lip balm,rabbit
lamb chop,sandwich,golf cart
firetruck,bee,payphone
squid,cow,file
beet,cocktail,wetsuit
pheasant,police car,raccoon
centerpiece,mask,hawk
maggot,clove,hot-air balloon
milk,sundae,rack
earwig,goldfish,marshmallow
bank,juice,goose
loom,whale,shelf
bookmark,cilantro,lip balm
sardine,purse,teabag
faucet,eagle,chinaware
gong,porthole,cheetah
bread,saltshaker,anchor
penlight,piglet,ink
tablecloth,test tube,sewing machine
washboard,deer,rim
armor,triangle,juice
bassinet,underwear,raspberry
ski pole,broccoli,pump
porcupine,bull,turntable
surfboard,trough,crystal
espresso,tupperware,tank
sweatsuit,stiletto,bowling ball
pacifier,carriage,hot-water bottle
bowling ball,ivy,button
cigarette butt,cardinal,silverware
robe,plaster cast,firetruck
torpedo,hinge,okra
moss,humvee,blueberry
bowler hat,arugula,uniform
place mat,tray,otter
root,cross,grate
notebook,wallet,clam
trailer,chute,vulture
christmas tree,slot,grate
squirt gun,snowshoe,cabbage
jackhammer,coffee bean,barbell
banjo,baby,shoehorn
pedometer,vulture,money
ostrich,eyeliner,pelican
penguin,blowfish,crate
binder,spider web,wallpaper
wine bottle,hyena,funnel
door,cream,magnet
shoulder,shell,tick
anklet,wrist,nacho
beet,map,calzone
brake,hook,polar bear
lollipop,eggbeater,turtleneck
chip,oven,meerkat
duct tape,needle,fire
meerkat,snowplow,eagle
football,champagne,swing set
coffee pot,measuring cup,pheasant
beaver,antenna,panther
gumball,fruit,mouse
abacus,typewriter,corsage
clothespin,tee,goose
turtleneck,brussels sprouts,dalmatian
bone,praying mantis,turntable
coffee table,yak,screen
stockings,plant,thumb
tweezers,owl,eyeliner
peppermint,yolk,chisel
bulldozer,raspberry,cement mixer
rock,violin,waterwheel
grits,camcorder,peanut butter
washboard,goose,brake
blowfish,bison,wagon
stuffing,button,wax
hook,basil,tripod
grape,police car,cranberry
dolly,whale,air conditioner
shredder,hawk,gate
pipe,splinter,gumball
gurney,coral,first-aid kit
waffle,crouton,knob
ferry,bamboo,chariot
pear,orange,humvee
fungus,boxing gloves,sunflower
shoehorn,vulture,ottoman
gurney,paper plate,recliner
clothesline,dishrag,cockroach
beehive,humvee,nut
snowplow,scrambled egg,speedometer
nightshirt,towel rack,diamond
watering can,thorn,humvee
ice pack,knee,game
violin,dolphin,tuba
shelf,bonnet,trident
slide,finger,gearshift
machine gun,tank,jalapeno
rope,leash,appetizer
pomegranate,lumber,gumdrop
neck,tugboat,eye
petal,revolver,footbath
radio,copier,deer
roller,cross,corsage
sailboat,toe,hearse
windshield wiper,ladybug,tape recorder
container,fire hydrant,moth
jeans,gun,clothes
latch,cream,tank
scuba,jack,rat
oar,okra,pole
stilt,birthday cake,stopwatch
clothes,tugboat,stiletto
plaster cast,bowling ball,vial
bulldozer,veil,air pump
hoodie,panties,pepper
pump,pom-pom,laser pointer
ravioli,mug,tennis ball
compost,tuba,hanger
gun,blazer,trigger
potato,marmalade,hot-air balloon
loom,shelf,slug
jersey,arugula,blindfold
screwdriver,punch,fountain pen
ladder,telegraph,cocoon
saddle,grate,bazooka
omelet,raccoon,green beans
arugula,needle,scallion
pillow,catfish,wreath
pig,snake,test tube
sprouts,cake,chisel
flagpole,cracker,tuning fork
hearing aid,walker,grate
toilet paper,bank,hawk
wagon,napkin,doorstop
flan,bell pepper,bagpipe
place mat,badger,counter
bracelet,leotard,grate
mousepad,artichoke,money
cotton candy,trombone,sardine
ambulance,brussels sprouts,station wagon
contact lens,camper,glasses
corkscrew,cross,doll
cornmeal,jeep,spam
slot,cream,blind
lid,poodle,keg
amplifier,backdrop,arugula
whip,cucumber,bottle opener
shark,bike,cobra
calf,revolver,toad
casserole,chips,gallows
cot,corsage,fireplace
bamboo,scarecrow,mascara
scaffolding,metal detector,knee
stockings,slipper,paint
flower,corkboard,radish
yacht,bobsled,soap
scrambled egg,souffle,knot
bow,braid,anchor
onion,showerhead,ice cube
seaweed,tuba,weed
bathrobe,bra,knife
pineapple,coconut,headlight
bassoon,record player,marmalade
robe,arrow,man
snowplow,mailbox,mouse
rose,leaf,paper
popsicle,wax,tugboat
canoe,stingray,bowling ball
tack,wok,gazelle
flask,goat,dish
bomb,flask,toe
chicken,jet,candy
snowball,sponge,shell
mosquito net,beachball,tooth
stained glass,whale,ribbon
hook,rag,piglet
staple gun,cilantro,pennant
saucer,finger,chopsticks
yarn,train,pants
javelin,basil,stopwatch
bagel,thread,saffron
hay,weed,tugboat
veil,turban,tank
hearse,magnifier,poodle
headscarf,jetski,skirt
lens,lampshade,grate
cable,turkey,whip
pine needle,violin,weed
toothpaste,checkers,fox
fern,clove,frisbee
flagpole,window,yak
nail clippers,spider web,ski pole
snake,gurney,penguin
bagel,pen,coffee filter
boomerang,bunkbed,flan
corn,barnacle,guitar
silicone,rabbit,lifesaver
rack,barbed wire,torso
boulder,blouse,rust
easel,abacus,knee
panther,gorilla,bubble wrap
polisher,drain,marshmallow
air mattress,radio,meerkat
abacus,yak,file
sandbox,first-aid kit,slingshot
sticker,tuba,dreidel
paddle,icepick,tapestry
walker,marble,stretcher
goalpost,fishing pole,bonnet
sardine,avocado,helmet
hyena,racehorse,wire cutters
pancake,bacon,sword
chinchilla,grapevine,rack
hedgehog,manatee,hat
rooster,guinea pig,towel rack
sewing machine,poinsettia,lab coat
parachute,weasel,kite
flag,meerkat,film
fencepost,gumball,tile
lock,baton,raccoon
clam,carriage,candy
raccoon,bird,bulldozer
pancake,finger,oyster
top hat,napkin ring,wood
fire hydrant,corsage,bowl
scone,windsock,fruit
life jacket,videocassette,hawk
fishing pole,scooter,artichoke
water bottle,tuba,icicle
vase,backgammon,grate
frisbee,roulette wheel,lemon
undershirt,shoulder,pickax
dynamite,fireplace,outfit
scallop,laptop,cornhusk
kitten,sidecar,owl
aircraft carrier,ship,pillbox
power line,paper plate,touchpad
hard disk,mosquito,trolley
beer,eagle,water cooler
chalice,piglet,bedpost
olive,seatbelt,pear
key,raccoon,cane
scallion,tape recorder,fern
lantern,gas mask,knee
bat,cardigan,vulture
teepee,mosquito net,gumball
urinal,poinsettia,mannequin
onion,honeycomb,bulletproof vest
chipmunk,jeans,chihuahua
cloak,clothesline,artichoke
windsock,jewel,propeller
record,straw,wok
rifle,chainsaw,kite
calf,hot-air balloon,chin
fox,goblet,dragonfly
appetizer,salad,turntable
tank,eclair,polygraph
deer,punch,walrus
trunk,crab,chalice
fruitcake,calzone,handcuff
ladybug,badger,hairpin
memory stick,beachball,washing machine
ruby,aloe,earring
seaplane,airplane,doily
pie,scrambled egg,propeller
gargoyle,cream,cart
bed,crib,spider web
fly,tarantula,book
electric chair,gearshift,meerkat
hose,sock,porthole
hippopotamus,boar,gong
robe,pedal,man
donkey,seagull,palette
keyhole,memory stick,knee
pea,headlight,dough
drain,bolt,vulture
hotdog,fruit,carriage
highlighter,bulletin board,ostrich
dresser,piano,scallion
telegraph,wheelchair,polar bear
deer,harp,ant
visor,scarf,meerkat
garlic,easter egg,diaper
watermelon,margarita,mascara
kilt,notebook,headdress
lifesaver,thermometer,coyote
trowel,spoon,pony
strainer,cleaver,ram
tuning fork,crab,nail file
broom,pool table,vulture
twig,handprint,french horn
home plate,dice,robe
apple tree,air conditioner,sponge
toilet paper,copier,boar
trough,corsage,freezer
beard,undershirt,marble
comic book,marker,meerkat
outfit,revolver,brace
slicer,sloth,handbrake
gazelle,bee,zipper
power line,television,sushi
detonator,mold,pigeon
screw,okra,pole
sweatsuit,grate,beanie
boxer shorts,screwdriver,sweatsuit
waffle iron,otter,rim
grapevine,knee,pine needle
snowmobile,train set,eggshell
shaker,cork,boar
counter,boar,squash
sunglasses,camera lens,basil
hanger,knee,flashbulb
omelet,pom-pom,powder
shortbread,raccoon,avocado
cross,whale,sheath
honeypot,grate,chinaware
cupcake,snack,carriage
trigger,artichoke,combination lock
clay,pet food,tuba
sidecar,tinsel,taillight
charger,lantern,coleslaw
block,cleat,cilantro
gasket,crab,penholder
pizza,onion,fountain pen
light switch,turnstile,corsage
doorbell,timer,cilantro
bungee,barbell,champagne
fruit,gallows,soy sauce
baseball glove,hula hoop,polar bear
light switch,headphones,swan
golf club,honeycomb,oar
door,whale,jukebox
racket,pogo stick,pepper
showerhead,earring,onion
shoe polish,locket,cilantro
grapefruit,bus,juice
bag,boar,teepee
puck,toe,lifesaver
undershirt,beet,brooch
hairspray,bowling ball,shorts
refrigerator,flower,headrest
skunk,highchair,lizard
aardvark,groundhog,cigar
cougar,shell,tiger
punch,net,egg
crow,grater,chihuahua
calamari,pudding,first-aid kit
pogo stick,hatchet,boar
guillotine,arch,knee
stove,canvas,vulture
nail polish,tattoo,pheasant
boomerang,scoop,cream
fire,dynamite,rattlesnake
tie,overalls,spider
pothole,vulture,windshield
asparagus,squash,thread
baton,goose,ski pole
scalpel,soccer ball,scraper
alligator,cobra,marshmallow
noisemaker,potholder,manhole
pogo stick,cockroach,shoe polish
pecan,brussels sprouts,jet
speedboat,toast,waterwheel
spur,axe,test tube
bookshelf,cart,beaker
modem,fire,stove
ginger,jet,garlic
pothole,keg,knee
paperclip,spider web,thermometer
snorkel,pigeon,showerhead
swab,iguana,toothbrush
backdrop,mattress,knee
drill,radar,dolphin
waterwheel,crayon,radio
shoelace,marker,first-aid kit
tambourine,tape,koala
dogfood,dip,knee
graffiti,finger,copier
paper bag,scarf,knee
net,cage,parfait
dice,grate,slingshot
wrench,panther,bracket
cow,rack,alpaca
polisher,rag,grate
tweezers,poker,moth
terrarium,pine tree,trombone
bone,mushroom,turntable
sailboat,meerkat,ferry
poppy,aloe,hinge
soccer ball,handkerchief,ball
lantern,penlight,whale
sewing kit,catfish,gearshift
casserole,sailboat,vending machine
paperweight,slicer,knee
helmet,luggage,peanut butter
steak,fork,racket
bolt,payphone,polar bear
ramp,swan,roller coaster
chessboard,train set,vulture
cymbal,sloth,cane
desk,book,ball
chariot,bean,guardrail
beet,playpen,scallion
elephant,shell,cockroach
juicer,grate,ravioli
face,windsock,elbow
waffle iron,fire,grits
candy,trombone,broccoli
canoe,first-aid kit,ice pack
garbage truck,gravestone,squid
cat,warthog,chandelier
coil,toilet,pigeon
pine tree,beehive,hairdryer
vegetable,saxophone,buffet
dessert,racket,spoon
powder,chickpea,motorcycle
diskette,videocassette,daisy
bulletproof vest,footrest,ketchup
bird,fish,baton
rocket,speaker,sloth
bullet,owl,letter opener
kimono,mask,trombone
nail clippers,key,grape
retainer,fire,footprint
file,extinguisher,cockroach
gun,grenade,blanket
rollerskate,whale,blower
ratchet,armor,scone
pedal,pole,ram
camera,cilantro,pincushion
plunger,okra,toilet paper
barrette,girl,cabbage
baseball,soccer ball,brussels sprouts
dolly,machete,vulture
hook,log,cardinal
solar panel,peach,fishing pole
bolt,boar,clipper
ginger,brownie,shell
gyroscope,metal detector,otter
prism,knee,microphone
sand,fire,stalagmite
coal,squirrel,crumb
noodle,jeep,dip
tuxedo,bowler hat,cabbage
